entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2024-01-19T12:45:00.000000000,17672.0,1,1,5000000.0,1.0,2024-01-30T17:00:00.000000000,18046.0,signal_exit,18614.282,85.718,100.0,0
2024-02-02T08:45:00.000000000,18101.0,1,1,5018614.282,1.0,2024-02-20T13:35:00.000000000,18746.0,roll_blackout,32163.153,86.84700000000001,100.0,0
2024-02-22T16:00:00.000000000,18922.0,1,1,5050777.435,1.0,2024-02-27T11:45:00.000000000,18832.0,signal_exit,-4587.754,87.75399999999999,100.0,0
2024-02-29T15:00:00.000000000,18962.0,1,1,5046189.681,1.0,2024-03-11T11:45:00.000000000,19739.0,signal_exit,38761.299,88.701,100.0,0
2024-03-12T10:45:00.000000000,19848.0,1,1,5084950.9799999995,1.0,2024-03-14T23:00:00.000000000,19877.0,signal_exit,1360.275,89.725,100.0,0
2024-03-18T20:00:00.000000000,19952.0,1,1,5086311.255,1.0,2024-03-19T13:35:00.000000000,19864.0,roll_blackout,-4489.816,89.816,100.0,0
2024-03-21T10:45:00.000000000,20180.0,1,1,5081821.439,1.0,2024-03-26T12:45:00.000000000,20187.0,signal_exit,259.633,90.367,100.0,0
2024-03-29T09:45:00.000000000,20275.0,1,1,5082081.072000001,1.0,2024-04-03T10:45:00.000000000,20358.0,signal_exit,4059.3669999999997,90.63300000000001,100.0,0
2024-04-08T10:45:00.000000000,20515.0,1,1,5086140.439,1.0,2024-04-11T18:00:00.000000000,20699.0,signal_exit,9108.786,91.214,100.0,0
2024-05-03T03:00:00.000000000,20488.0,1,1,5095249.225000001,1.0,2024-05-03T11:45:00.000000000,20426.0,signal_exit,-3190.9139999999998,90.914,100.0,0
2024-05-04T02:00:00.000000000,20644.0,1,1,5092058.311000001,1.0,2024-05-09T16:00:00.000000000,20600.0,signal_exit,-2291.2439999999997,91.244,100.0,0
2024-05-10T12:45:00.000000000,20753.0,1,1,5089767.067000001,1.0,2024-05-14T13:35:00.000000000,20998.0,roll_blackout,12158.249,91.751,100.0,0
2024-05-16T09:45:00.000000000,21554.0,1,1,5101925.316000001,1.0,2024-05-20T12:45:00.000000000,21249.0,signal_exit,-15342.803,92.803,100.0,0
2024-05-22T10:45:00.000000000,21522.0,1,1,5086582.513,1.0,2024-05-24T03:00:00.000000000,21403.0,signal_exit,-6042.925,92.92500000000001,100.0,0
2024-05-27T09:45:00.000000000,21872.0,1,1,5080539.588,1.0,2024-05-29T12:45:00.000000000,21752.0,signal_exit,-6093.624000000001,93.624,100.0,0
2024-06-12T12:45:00.000000000,22001.0,1,1,5074445.964000001,1.0,2024-06-18T13:35:00.000000000,22787.0,roll_blackout,39205.21200000001,94.78800000000001,100.0,0
2024-06-20T12:45:00.000000000,23311.0,1,1,5113651.176000001,1.0,2024-06-21T17:00:00.000000000,22936.0,signal_exit,-18846.247000000003,96.24700000000001,100.0,0
2024-06-26T10:45:00.000000000,22974.0,1,1,5094804.9290000005,1.0,2024-06-26T20:00:00.000000000,22762.0,signal_exit,-10695.736,95.736,100.0,0
2024-07-03T02:00:00.000000000,23038.0,1,1,5084109.193000001,1.0,2024-07-12T10:45:00.000000000,23942.0,signal_exit,45103.02,96.98,100.0,0
2024-08-20T02:00:00.000000000,22543.0,1,1,5129212.213,1.0,2024-08-20T13:35:00.000000000,22428.0,roll_blackout,-5844.971,94.971,100.0,0
2024-09-19T15:00:00.000000000,22100.0,1,1,5123367.242000001,1.0,2024-09-27T16:00:00.000000000,22761.0,signal_exit,32955.139,94.861,100.0,0
2024-10-12T03:00:00.000000000,23073.0,1,1,5156322.381000001,1.0,2024-10-15T13:35:00.000000000,23248.0,roll_blackout,8653.679,96.321,100.0,0
2024-10-17T16:00:00.000000000,23562.0,1,1,5164976.0600000005,1.0,2024-10-21T19:00:00.000000000,23494.0,signal_exit,-3497.056,97.056,100.0,0
2024-10-25T18:00:00.000000000,23569.0,1,1,5161479.004000001,1.0,2024-10-28T11:45:00.000000000,23309.0,signal_exit,-13096.877999999999,96.878,100.0,0
2024-11-07T22:00:00.000000000,23614.0,1,1,5148382.126000001,1.0,2024-11-11T10:45:00.000000000,23423.0,signal_exit,-9647.037,97.037,100.0,0
2024-12-04T15:00:00.000000000,23276.0,1,1,5138735.089000002,1.0,2024-12-06T15:00:00.000000000,23209.0,signal_exit,-3446.4849999999997,96.48500000000001,100.0,0
2024-12-09T17:00:00.000000000,23418.0,1,1,5135288.604000001,1.0,2024-12-10T08:45:00.000000000,23227.0,signal_exit,-9646.645,96.64500000000001,100.0,0
2024-12-24T02:00:00.000000000,23391.0,1,1,5125641.959000002,1.0,2024-12-26T18:00:00.000000000,23237.0,signal_exit,-7796.628,96.62800000000001,100.0,0
2024-12-27T15:00:00.000000000,23383.0,1,1,5117845.331000002,1.0,2024-12-27T23:00:00.000000000,23202.0,signal_exit,-9146.585,96.58500000000001,100.0,0
2025-01-06T10:45:00.000000000,23487.0,1,1,5108698.746000002,1.0,2025-01-08T12:45:00.000000000,23454.0,signal_exit,-1746.941,96.941,100.0,0
