,equity
2021-01-04,5000000.0
2021-01-05,5000000.0
2021-01-06,5000000.0
2021-01-07,5000000.0
2021-01-08,5000000.0
2021-01-11,5000000.0
2021-01-12,5000000.0
2021-01-13,5000000.0
2021-01-14,5000000.0
2021-01-15,5000000.0
2021-01-18,5000000.0
2021-01-19,5000000.0
2021-01-20,5000000.0
2021-01-21,5000000.0
2021-01-22,5000000.0
2021-01-25,5000000.0
2021-01-26,5000000.0
2021-01-27,5000000.0
2021-01-28,5000000.0
2021-01-29,5000000.0
2021-02-01,5000000.0
2021-02-02,5000000.0
2021-02-03,5000000.0
2021-02-04,5000000.0
2021-02-05,5000000.0
2021-02-17,5000000.0
2021-02-18,5000000.0
2021-02-19,5000000.0
2021-02-22,5000000.0
2021-02-23,5000000.0
2021-02-24,5000000.0
2021-02-25,5000000.0
2021-02-26,5000000.0
2021-03-02,5000000.0
2021-03-03,5000000.0
2021-03-04,5000000.0
2021-03-05,5000000.0
2021-03-08,5000000.0
2021-03-09,5000000.0
2021-03-10,5000000.0
2021-03-11,5000000.0
2021-03-12,5000000.0
2021-03-15,5000000.0
2021-03-16,5000000.0
2021-03-17,5000000.0
2021-03-18,5000000.0
2021-03-19,5000000.0
2021-03-22,5000000.0
2021-03-23,5000000.0
2021-03-24,5000000.0
2021-03-25,5000000.0
2021-03-26,5000000.0
2021-03-29,5000000.0
2021-03-30,5000000.0
2021-03-31,5000000.0
2021-04-01,5000000.0
2021-04-06,5000000.0
2021-04-07,5000000.0
2021-04-08,5000000.0
2021-04-09,5000000.0
2021-04-12,5000000.0
2021-04-13,5000000.0
2021-04-14,5000000.0
2021-04-15,5000000.0
2021-04-16,5000000.0
2021-04-19,5000000.0
2021-04-20,5000000.0
2021-04-21,5000000.0
2021-04-22,5000000.0
2021-04-23,5000000.0
2021-04-26,5000000.0
2021-04-27,5000000.0
2021-04-28,5000000.0
2021-04-29,5000000.0
2021-05-03,5000000.0
2021-05-04,5000000.0
2021-05-05,5000000.0
2021-05-06,5000000.0
2021-05-07,5000000.0
2021-05-10,5000000.0
2021-05-11,5000000.0
2021-05-12,5000000.0
2021-05-13,5000000.0
2021-05-14,5000000.0
2021-05-17,5000000.0
2021-05-18,5000000.0
2021-05-19,5000000.0
2021-05-20,5000000.0
2021-05-21,5000000.0
2021-05-24,5000000.0
2021-05-25,5000000.0
2021-05-26,5000000.0
2021-05-27,5000000.0
2021-05-28,5000000.0
2021-05-31,5000000.0
2021-06-01,5000000.0
2021-06-02,5000000.0
2021-06-03,5000000.0
2021-06-04,5000000.0
2021-06-07,5000000.0
2021-06-08,5000000.0
2021-06-09,5000000.0
2021-06-10,5000000.0
2021-06-11,5000000.0
2021-06-15,5000000.0
2021-06-16,5000000.0
2021-06-17,5000000.0
2021-06-18,5000000.0
2021-06-21,4999808.041
2021-06-22,4996508.041
2021-06-23,4985415.792
2021-06-24,4985415.792
2021-06-25,4985415.792
2021-06-28,4985415.792
2021-06-29,4985415.792
2021-06-30,4985415.792
2021-07-01,4985415.792
2021-07-02,4985415.792
2021-07-05,4985415.792
2021-07-06,4985415.792
2021-07-07,4985415.792
2021-07-08,4985415.792
2021-07-09,4985415.792
2021-07-12,4985415.792
2021-07-13,4985415.792
2021-07-14,4985415.792
2021-07-15,4985415.792
2021-07-16,4985415.792
2021-07-19,4985415.792
2021-07-20,4988880.633
2021-07-21,4988880.633
2021-07-22,4988880.633
2021-07-23,4988880.633
2021-07-26,4992588.356
2021-07-27,4994038.356
2021-07-28,5004438.356
2021-07-29,4990546.114
2021-07-30,4990546.114
2021-08-02,4990546.114
2021-08-03,4990546.114
2021-08-04,4990546.114
2021-08-05,4990546.114
2021-08-06,4990546.114
2021-08-09,4990546.114
2021-08-10,4990546.114
2021-08-11,4987004.013
2021-08-12,4987704.013
2021-08-13,4998854.013
2021-08-16,5006954.013
2021-08-17,5014462.392
2021-08-18,5014462.392
2021-08-19,5014462.392
2021-08-20,5014462.392
2021-08-23,5014462.392
2021-08-24,5014462.392
2021-08-25,5014462.392
2021-08-26,5014462.392
2021-08-27,5014462.392
2021-08-30,5014462.392
2021-08-31,5014462.392
2021-09-01,5014462.392
2021-09-02,5014462.392
2021-09-03,5014462.392
2021-09-06,5014462.392
2021-09-07,5014462.392
2021-09-08,5014462.392
2021-09-09,5014462.392
2021-09-10,5014462.392
2021-09-13,5014462.392
2021-09-14,5014462.392
2021-09-15,5014462.392
2021-09-16,5014462.392
2021-09-17,5014462.392
2021-09-22,5007620.628
2021-09-23,4998620.628
2021-09-24,4994528.467
2021-09-27,4994528.467
2021-09-28,4994528.467
2021-09-29,5001886.496
2021-09-30,4997186.496
2021-10-01,5017186.496
2021-10-04,5025136.496
2021-10-05,5023136.496
2021-10-06,5025086.496
2021-10-07,5008344.803
2021-10-08,5008344.803
2021-10-12,5008344.803
2021-10-13,5008344.803
2021-10-14,5008344.803
2021-10-15,5008344.803
2021-10-18,5008344.803
2021-10-19,5008344.803
2021-10-20,5008344.803
2021-10-21,5008344.803
2021-10-22,5008344.803
2021-10-25,5008344.803
2021-10-26,5008344.803
2021-10-27,5008344.803
2021-10-28,5008344.803
2021-10-29,5008344.803
2021-11-01,5008344.803
2021-11-02,5008344.803
2021-11-03,5008344.803
2021-11-04,5008344.803
2021-11-05,5008344.803
2021-11-08,5008344.803
2021-11-09,5008344.803
2021-11-10,5008344.803
2021-11-11,5008344.803
2021-11-12,5008344.803
2021-11-15,5008344.803
2021-11-16,5008344.803
2021-11-17,5008344.803
2021-11-18,5008344.803
2021-11-19,5008344.803
2021-11-22,5008344.803
2021-11-23,5008344.803
2021-11-24,5008344.803
2021-11-25,5008344.803
2021-11-26,5008344.803
2021-11-29,5000852.644
2021-11-30,4992360.167
2021-12-01,4992360.167
2021-12-02,4992360.167
2021-12-03,4992360.167
2021-12-06,4992360.167
2021-12-07,4992360.167
2021-12-08,4992360.167
2021-12-09,4992360.167
2021-12-10,4992360.167
2021-12-13,4992360.167
2021-12-14,4992360.167
2021-12-15,4992360.167
2021-12-16,4992360.167
