,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,4995164.953
2024-01-09,4995164.953
2024-01-10,4998072.436
2024-01-11,4991529.848
2024-01-12,4986144.864
2024-01-15,4986144.864
2024-01-16,4986144.864
2024-01-17,4986144.864
2024-01-18,4986144.864
2024-01-19,4986144.864
2024-01-22,4986144.864
2024-01-23,4986144.864
2024-01-24,4986144.864
2024-01-25,4986144.864
2024-01-26,4986144.864
2024-01-29,4986144.864
2024-01-30,4986144.864
2024-01-31,4986144.864
2024-02-01,4986144.864
2024-02-02,4986144.864
2024-02-05,4986144.864
2024-02-15,4986144.864
2024-02-16,4986144.864
2024-02-19,4986144.864
2024-02-20,4986144.864
2024-02-21,4986144.864
2024-02-22,4986144.864
2024-02-23,4986144.864
2024-02-26,4986144.864
2024-02-27,4986144.864
2024-02-29,4986144.864
2024-03-01,4986144.864
2024-03-04,4986144.864
2024-03-05,4986144.864
2024-03-06,4986144.864
2024-03-07,4986144.864
2024-03-08,4986144.864
2024-03-11,4986144.864
2024-03-12,4986144.864
2024-03-13,4986144.864
2024-03-14,4986144.864
2024-03-15,4986144.864
2024-03-18,4986144.864
2024-03-19,4986144.864
2024-03-20,4986144.864
2024-03-21,4986144.864
2024-03-22,4986144.864
2024-03-25,4986144.864
2024-03-26,4986144.864
2024-03-27,4986144.864
2024-03-28,4986144.864
2024-03-29,4986144.864
2024-04-01,4986144.864
2024-04-02,4986144.864
2024-04-03,4986144.864
2024-04-08,4986144.864
2024-04-09,4986144.864
2024-04-10,4986144.864
2024-04-11,4986144.864
2024-04-12,4986144.864
2024-04-15,4986144.864
2024-04-16,4987204.983
2024-04-17,4987204.983
2024-04-18,4987204.983
2024-04-19,4986710.446
2024-04-22,4987810.446
2024-04-23,4980160.446
2024-04-24,4976115.689
2024-04-25,4976115.689
2024-04-26,4976115.689
2024-04-29,4976115.689
2024-04-30,4976115.689
2024-05-02,4976115.689
2024-05-03,4976115.689
2024-05-06,4976115.689
2024-05-07,4976115.689
2024-05-08,4976115.689
2024-05-09,4976115.689
2024-05-10,4976115.689
2024-05-13,4976115.689
2024-05-14,4976115.689
2024-05-15,4976115.689
2024-05-16,4976115.689
2024-05-17,4976115.689
2024-05-20,4976115.689
2024-05-21,4976115.689
2024-05-22,4976115.689
2024-05-23,4976115.689
2024-05-24,4976115.689
2024-05-27,4976115.689
2024-05-28,4976115.689
2024-05-29,4976115.689
2024-05-30,4976115.689
2024-05-31,4976115.689
2024-06-03,4956772.732
2024-06-04,4956772.732
2024-06-05,4947880.076
2024-06-06,4947880.076
2024-06-07,4947880.076
2024-06-11,4947880.076
2024-06-12,4947880.076
2024-06-13,4947880.076
2024-06-14,4947880.076
2024-06-17,4947880.076
2024-06-18,4947880.076
2024-06-19,4947880.076
2024-06-20,4947880.076
2024-06-21,4947880.076
2024-06-24,4947880.076
2024-06-25,4947880.076
2024-06-26,4947880.076
2024-06-27,4947880.076
2024-06-28,4947880.076
2024-07-01,4947880.076
2024-07-02,4947880.076
2024-07-03,4947880.076
2024-07-04,4947880.076
