entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2017-07-27T15:00:00.000000000,10457.0,1,1,5000000.0,1.0,2017-08-15T13:35:00.000000000,10300.0,roll_blackout,-7920.7570000000005,70.757,300.0,950,fixed_one
2017-09-18T15:00:00.000000000,10640.0,1,1,4992079.243,1.0,2017-09-19T13:35:00.000000000,10575.0,roll_blackout,-3321.2149999999997,71.215,300.0,119,fixed_one
2017-10-12T15:00:00.000000000,10695.0,1,1,4988758.028,1.0,2017-10-17T13:35:00.000000000,10719.0,roll_blackout,1128.586,71.414,300.0,369,fixed_one
2017-11-22T15:00:00.000000000,10835.0,1,1,4989886.614,1.0,2017-12-01T15:00:00.000000000,10608.0,signal_exit,-11421.443,71.44300000000001,300.0,421,fixed_one
2018-01-03T15:00:00.000000000,10795.0,1,1,4978465.171,1.0,2018-01-16T13:35:00.000000000,10980.0,roll_blackout,9178.225,71.775,300.0,828,fixed_one
2018-01-18T15:00:00.000000000,11066.0,1,1,4987643.396,1.0,2018-02-07T15:00:00.000000000,10498.0,signal_exit,-28471.564,71.56400000000001,300.0,438,fixed_one
2018-06-04T15:00:00.000000000,11095.0,1,1,4959171.832,1.0,2018-06-19T13:35:00.000000000,10881.0,roll_blackout,-10771.975999999999,71.976,300.0,216,fixed_one
2018-07-20T15:00:00.000000000,10841.0,1,1,4948399.856000001,1.0,2018-08-14T13:35:00.000000000,10817.0,roll_blackout,-1271.658,71.658,300.0,629,fixed_one
2018-08-29T15:00:00.000000000,11049.0,1,1,4947128.198000001,1.0,2018-09-13T15:00:00.000000000,10723.0,signal_exit,-16371.772,71.77199999999999,300.0,207,fixed_one
2019-04-10T15:00:00.000000000,10864.0,1,1,4930756.426000001,1.0,2019-04-16T13:35:00.000000000,10919.0,roll_blackout,2678.217,71.783,300.0,130,fixed_one
2019-05-03T15:00:00.000000000,11096.0,1,1,4933434.643000001,1.0,2019-05-14T13:35:00.000000000,10539.0,roll_blackout,-27921.635000000002,71.635,300.0,39,fixed_one
2019-07-11T15:00:00.000000000,10818.0,1,1,4905513.008000001,1.0,2019-07-16T13:35:00.000000000,10878.0,roll_blackout,2928.3039999999996,71.696,300.0,101,fixed_one
2019-07-19T15:00:00.000000000,10748.0,1,1,4908441.312000002,1.0,2019-08-06T15:00:00.000000000,10334.0,signal_exit,-20771.082,71.08200000000001,300.0,264,fixed_one
2019-09-04T15:00:00.000000000,10693.0,1,1,4887670.230000002,1.0,2019-09-17T13:35:00.000000000,10860.0,roll_blackout,8278.447,71.553,300.0,292,fixed_one
2019-10-01T15:00:00.000000000,10960.0,1,1,4895948.677000002,1.0,2019-10-15T13:35:00.000000000,11103.0,roll_blackout,7077.937,72.063,300.0,153,fixed_one
2019-10-24T15:00:00.000000000,11297.0,1,1,4903026.614000002,1.0,2019-11-19T13:35:00.000000000,11644.0,roll_blackout,17277.059,72.941,300.0,553,fixed_one
2019-12-11T15:00:00.000000000,11712.0,1,1,4920303.673000001,1.0,2019-12-17T13:35:00.000000000,12091.0,roll_blackout,18876.197,73.803,300.0,82,fixed_one
2020-04-30T15:00:00.000000000,10941.0,1,1,4939179.870000001,1.0,2020-05-19T13:35:00.000000000,10871.0,roll_blackout,-3571.812,71.81200000000001,300.0,26,fixed_one
2020-06-02T15:00:00.000000000,11115.0,1,1,4935608.058000001,1.0,2020-06-16T13:35:00.000000000,11510.0,roll_blackout,19677.375,72.625,300.0,25,fixed_one
2020-07-02T15:00:00.000000000,11732.0,1,1,4955285.433000001,1.0,2020-07-14T13:35:00.000000000,12178.0,roll_blackout,22226.09,73.91,300.0,76,fixed_one
2020-07-21T15:00:00.000000000,12301.0,1,1,4977511.523000001,1.0,2020-08-18T13:35:00.000000000,12872.0,roll_blackout,28474.827,75.173,300.0,93,fixed_one
2020-11-09T15:00:00.000000000,13116.0,1,1,5005986.350000001,1.0,2020-11-17T13:35:00.000000000,13602.0,roll_blackout,24223.282,76.718,300.0,13,fixed_one
2020-11-23T15:00:00.000000000,13877.0,1,1,5030209.632,1.0,2020-12-15T13:35:00.000000000,14057.0,roll_blackout,8922.065999999999,77.934,300.0,173,fixed_one
