,equity
2017-07-03,5014532.696
2017-07-04,4982132.696
2017-07-05,5019932.696
2017-07-06,5004632.696
2017-07-07,4975832.696
2017-07-10,4978982.696
2017-07-11,5038382.696
2017-07-12,5037032.696
2017-07-13,5073482.696
2017-07-14,5065832.696
2017-07-17,5080682.696
2017-07-18,5091163.556
2017-07-19,5091163.556
2017-07-20,5091163.556
2017-07-21,5064295.064
2017-07-24,5079145.064
2017-07-25,5079595.064
2017-07-26,5064295.064
2017-07-27,5117845.064
2017-07-28,5069245.064
2017-07-31,5075995.064
2017-08-01,5081395.064
2017-08-02,5120095.064
2017-08-03,5098945.064
2017-08-04,5113795.064
2017-08-07,5154295.064
2017-08-08,5152945.064
2017-08-09,5120095.064
2017-08-10,5063845.064
2017-08-11,5051245.064
2017-08-14,5020195.064
2017-08-15,5050927.364
2017-08-16,5050927.364
2017-08-17,5050927.364
2017-08-18,5030359.628
2017-08-21,5034859.628
2017-08-22,5071309.628
2017-08-23,5076259.628
2017-08-24,5115859.628
2017-08-25,5132959.628
2017-08-28,5134309.628
2017-08-29,5122159.628
2017-08-30,5152759.628
2017-08-31,5161759.628
2017-09-01,5173009.628
2017-09-04,5162209.628
2017-09-05,5175709.628
2017-09-06,5147359.628
2017-09-07,5134309.628
2017-09-08,5164009.628
2017-09-11,5168059.628
2017-09-12,5179309.628
2017-09-13,5148259.628
2017-09-14,5151859.628
2017-09-15,5168509.628
2017-09-18,5200009.628
2017-09-19,5172239.453
2017-09-20,5172239.453
2017-09-21,5172239.453
2017-09-22,5105319.224
2017-09-25,5060319.224
2017-09-26,5029269.224
2017-09-27,5029851.83
2017-09-28,5029851.83
2017-09-29,5029851.83
2017-09-30,5029851.83
2017-10-02,5029851.83
2017-10-03,5029851.83
2017-10-05,5050682.708
2017-10-06,5059232.708
2017-10-11,5108282.708
2017-10-12,5137082.708
2017-10-13,5143382.708
2017-10-16,5164082.708
2017-10-17,5146661.237
2017-10-18,5146661.237
2017-10-19,5146661.237
2017-10-20,5133739.397
2017-10-23,5135539.397
2017-10-24,5139139.397
2017-10-25,5136889.397
2017-10-26,5131939.397
2017-10-27,5123839.397
2017-10-30,5140939.397
2017-10-31,5156689.397
2017-11-01,5168389.397
2017-11-02,5155789.397
2017-11-03,5158939.397
2017-11-06,5151289.397
2017-11-07,5175589.397
2017-11-08,5166139.397
2017-11-09,5129689.397
2017-11-10,5131939.397
2017-11-13,5116189.397
2017-11-14,5109118.295
2017-11-15,5109118.295
2017-11-16,5109118.295
2017-11-17,5144797.652
2017-11-20,5126797.652
2017-11-21,5181247.652
2017-11-22,5198797.652
2017-11-23,5211847.652
2017-11-24,5211847.652
2017-11-27,5164147.652
2017-11-28,5145247.652
2017-11-29,5154697.652
2017-11-30,5084947.652
2017-12-01,5098447.652
2017-12-04,5099927.18
2017-12-05,5099927.18
2017-12-06,5099927.18
2017-12-07,5099927.18
2017-12-08,5099927.18
2017-12-11,5099927.18
2017-12-12,5099927.18
2017-12-13,5099927.18
2017-12-14,5099927.18
2017-12-15,5099927.18
2017-12-18,5099927.18
2017-12-19,5099927.18
2017-12-20,5099927.18
2017-12-21,5099927.18
2017-12-22,5099927.18
2017-12-25,5099927.18
2017-12-26,5099927.18
2017-12-27,5099927.18
2017-12-28,5099927.18
2017-12-29,5099927.18
2018-01-02,5099927.18
2018-01-03,5099927.18
2018-01-04,5118505.025
2018-01-05,5127505.025
2018-01-08,5140555.025
2018-01-09,5138305.025
2018-01-10,5105905.025
2018-01-11,5102305.025
2018-01-12,5136055.025
2018-01-15,5171605.025
2018-01-16,5182531.205
2018-01-17,5182531.205
2018-01-18,5182531.205
2018-01-19,5215056.611
2018-01-22,5252406.611
2018-01-23,5253756.611
2018-01-24,5209206.611
2018-01-25,5221806.611
2018-01-26,5218206.611
2018-01-29,5240706.611
2018-01-30,5181306.611
2018-01-31,5196606.611
2018-02-01,5224506.611
2018-02-02,5204706.611
2018-02-05,5120106.611
2018-02-06,4882056.611
2018-02-07,4935156.611
2018-02-08,4926287.129
2018-02-09,4926287.129
2018-02-12,4926287.129
2018-02-21,4926287.129
2018-02-22,4926287.129
2018-02-23,4926287.129
2018-02-26,4926287.129
2018-02-27,4912914.749
2018-03-01,4887714.749
2018-03-02,4863414.749
2018-03-05,4842714.749
2018-03-06,4836544.151
2018-03-07,4836544.151
2018-03-08,4836544.151
2018-03-09,4836544.151
2018-03-12,4899857.231
2018-03-13,4930257.231
2018-03-14,4902657.231
2018-03-15,4906657.231
2018-03-16,4897457.231
2018-03-19,4901457.231
2018-03-20,4893569.159
2018-03-21,4893569.159
2018-03-22,4893569.159
2018-03-23,4793281.287
2018-03-26,4835681.287
2018-03-27,4895281.287
2018-03-28,4827681.287
2018-03-29,4835681.287
2018-03-30,4867281.287
2018-03-31,4870081.287
2018-04-02,4845681.287
2018-04-03,4813281.287
2018-04-09,4861281.287
2018-04-10,4879281.287
2018-04-11,4891281.287
2018-04-12,4876881.287
2018-04-13,4881681.287
2018-04-16,4876881.287
2018-04-17,4820594.863
2018-04-18,4820594.863
2018-04-19,4820594.863
2018-04-20,4820594.863
2018-04-23,4820594.863
2018-04-24,4820594.863
2018-04-25,4820594.863
2018-04-26,4820594.863
2018-04-27,4820594.863
2018-04-30,4820594.863
2018-05-02,4820594.863
2018-05-03,4820594.863
2018-05-04,4820594.863
2018-05-07,4820594.863
2018-05-08,4820594.863
2018-05-09,4820594.863
2018-05-10,4820594.863
2018-05-11,4820594.863
2018-05-14,4820594.863
2018-05-15,4782020.311
2018-05-16,4782020.311
2018-05-17,4782020.311
2018-05-18,4783333.783
2018-05-21,4841333.783
2018-05-22,4824133.783
2018-05-23,4798533.783
2018-05-24,4822133.783
2018-05-25,4828133.783
2018-05-28,4848533.783
2018-05-29,4826533.783
2018-05-30,4765333.783
2018-05-31,4802133.783
2018-06-01,4821333.783
2018-06-04,4889333.783
2018-06-05,4882933.783
2018-06-06,4935333.783
2018-06-07,4946133.783
2018-06-08,4905333.783
2018-06-11,4906533.783
2018-06-12,4911733.783
2018-06-13,4913733.783
2018-06-14,4849333.783
2018-06-15,4877333.783
2018-06-19,4807446.735
2018-06-20,4807446.735
2018-06-21,4807446.735
2018-06-22,4793625.57
2018-06-25,4761675.57
2018-06-26,4760005.341
2018-06-27,4760005.341
2018-06-28,4760005.341
2018-06-29,4760005.341
2018-07-02,4760005.341
2018-07-03,4760005.341
2018-07-04,4760005.341
2018-07-05,4760005.341
2018-07-06,4760005.341
2018-07-09,4760005.341
2018-07-10,4760005.341
2018-07-11,4762120.453
2018-07-12,4811320.453
2018-07-13,4854520.453
2018-07-16,4841320.453
2018-07-17,4823434.285
2018-07-18,4823434.285
2018-07-19,4823434.285
2018-07-20,4873962.886
2018-07-23,4876662.886
2018-07-24,4895112.886
2018-07-25,4892412.886
2018-07-26,4914912.886
2018-07-27,4949562.886
2018-07-30,4926162.886
2018-07-31,4948212.886
2018-08-01,4974312.886
2018-08-02,4895112.886
2018-08-03,4939662.886
2018-08-06,4945062.886
2018-08-07,4938762.886
2018-08-08,4975212.886
2018-08-09,4960812.886
2018-08-10,4934712.886
2018-08-13,4843812.886
2018-08-14,4870490.533
2018-08-15,4870490.533
2018-08-16,4870490.533
2018-08-17,4858919.35
2018-08-20,4862969.35
2018-08-21,4906169.35
2018-08-22,4904819.35
2018-08-23,4939919.35
2018-08-24,4915619.35
2018-08-27,4959719.35
2018-08-28,4990319.35
2018-08-29,5030819.35
2018-08-30,5021369.35
2018-08-31,5020919.35
2018-09-03,4981769.35
2018-09-04,5011919.35
2018-09-05,4988519.35
2018-09-06,4966469.35
2018-09-07,4941269.35
2018-09-10,4891319.35
2018-09-11,4894019.35
2018-09-12,4887719.35
2018-09-13,4883669.35
2018-09-14,4886047.843
2018-09-17,4886047.843
2018-09-18,4863803.479
2018-09-19,4863803.479
2018-09-20,4863803.479
2018-09-21,4915516.727
2018-09-25,4918316.727
2018-09-26,4914716.727
2018-09-27,4918716.727
2018-09-28,4907916.727
2018-10-01,4928316.727
2018-10-02,4877516.727
2018-10-03,4868316.727
2018-10-04,4803516.727
2018-10-05,4728316.727
2018-10-08,4729632.647
2018-10-09,4729632.647
2018-10-11,4729632.647
2018-10-12,4729632.647
2018-10-15,4729632.647
2018-10-16,4729632.647
2018-10-17,4729632.647
2018-10-18,4729632.647
2018-10-19,4729632.647
2018-10-22,4729632.647
2018-10-23,4729632.647
2018-10-24,4729632.647
2018-10-25,4729632.647
2018-10-26,4729632.647
2018-10-29,4729632.647
2018-10-30,4729632.647
2018-10-31,4729632.647
2018-11-01,4729632.647
2018-11-02,4729632.647
2018-11-05,4729632.647
2018-11-06,4729632.647
2018-11-07,4729632.647
2018-11-08,4729632.647
2018-11-09,4729632.647
2018-11-12,4729632.647
2018-11-13,4729632.647
2018-11-14,4729632.647
2018-11-15,4729632.647
2018-11-16,4729632.647
2018-11-19,4729632.647
2018-11-20,4729632.647
2018-11-21,4729632.647
2018-11-22,4729632.647
2018-11-23,4729632.647
2018-11-26,4729632.647
2018-11-27,4729632.647
2018-11-28,4729632.647
2018-11-29,4729632.647
2018-11-30,4729632.647
2018-12-03,4729632.647
2018-12-04,4729632.647
2018-12-05,4729632.647
2018-12-06,4729632.647
2018-12-07,4729632.647
2018-12-10,4729632.647
2018-12-11,4729632.647
2018-12-12,4729632.647
2018-12-13,4729632.647
2018-12-14,4729632.647
2018-12-17,4729632.647
2018-12-18,4729632.647
2018-12-19,4729632.647
2018-12-20,4729632.647
2018-12-21,4729632.647
2018-12-22,4729632.647
2018-12-24,4729632.647
2018-12-25,4729632.647
2018-12-26,4729632.647
2018-12-27,4729632.647
2018-12-28,4729632.647
2019-01-02,4729632.647
2019-01-03,4729632.647
2019-01-04,4729632.647
2019-01-07,4729632.647
2019-01-08,4729632.647
2019-01-09,4729632.647
2019-01-10,4729632.647
2019-01-11,4729632.647
2019-01-14,4729632.647
2019-01-15,4729632.647
2019-01-16,4729632.647
2019-01-17,4729632.647
2019-01-18,4729632.647
2019-01-21,4729632.647
2019-01-22,4729632.647
2019-01-23,4729632.647
2019-01-24,4729632.647
2019-01-25,4729632.647
2019-01-28,4729632.647
2019-01-29,4729632.647
2019-01-30,4729632.647
2019-02-11,4729632.647
2019-02-12,4729632.647
2019-02-13,4729632.647
2019-02-14,4729632.647
2019-02-15,4729632.647
2019-02-18,4729632.647
2019-02-19,4729632.647
2019-02-20,4729632.647
2019-02-21,4729632.647
2019-02-22,4729632.647
2019-02-25,4729632.647
2019-02-26,4729632.647
2019-02-27,4729632.647
2019-03-04,4729632.647
2019-03-05,4729632.647
2019-03-06,4729632.647
2019-03-07,4729632.647
2019-03-08,4729632.647
2019-03-11,4729632.647
2019-03-12,4729632.647
2019-03-13,4729632.647
2019-03-14,4729632.647
2019-03-15,4729632.647
2019-03-18,4729632.647
2019-03-19,4729632.647
2019-03-20,4729632.647
2019-03-21,4729632.647
2019-03-22,4729632.647
2019-03-25,4729632.647
2019-03-26,4729632.647
2019-03-27,4729632.647
2019-03-28,4729632.647
2019-03-29,4729632.647
2019-04-01,4729632.647
2019-04-02,4729632.647
2019-04-03,4729632.647
2019-04-08,4729632.647
2019-04-09,4729632.647
2019-04-10,4729632.647
2019-04-11,4706145.735
2019-04-12,4704545.735
2019-04-15,4734145.735
2019-04-16,4751058.383
2019-04-17,4751058.383
2019-04-18,4751058.383
2019-04-19,4762370.839
2019-04-22,4764770.839
2019-04-23,4783170.839
2019-04-24,4777170.839
2019-04-25,4785970.839
2019-04-26,4746770.839
2019-04-29,4746370.839
2019-04-30,4754370.839
2019-05-02,4764770.839
2019-05-03,4810370.839
2019-05-06,4716370.839
2019-05-07,4761570.839
2019-05-08,4730770.839
2019-05-09,4671970.839
2019-05-10,4671570.839
2019-05-13,4603970.839
2019-05-14,4588886.527
2019-05-15,4588886.527
2019-05-16,4588886.527
2019-05-17,4588886.527
2019-05-20,4588886.527
2019-05-21,4588886.527
2019-05-22,4588886.527
2019-05-23,4588886.527
2019-05-24,4588886.527
2019-05-27,4588886.527
2019-05-28,4588886.527
2019-05-29,4588886.527
2019-05-30,4588886.527
2019-05-31,4588886.527
2019-06-03,4588886.527
2019-06-04,4588886.527
2019-06-05,4588886.527
2019-06-06,4588886.527
2019-06-10,4588886.527
2019-06-11,4588886.527
2019-06-12,4588886.527
2019-06-13,4588886.527
2019-06-14,4588886.527
2019-06-17,4588886.527
2019-06-18,4588886.527
2019-06-19,4588886.527
2019-06-20,4588886.527
2019-06-21,4580601.687
2019-06-24,4595801.687
2019-06-25,4562601.687
2019-06-26,4547801.687
2019-06-27,4595401.687
2019-06-28,4578601.687
2019-07-01,4653401.687
2019-07-02,4646201.687
2019-07-03,4603001.687
2019-07-04,4630601.687
2019-07-05,4633801.687
2019-07-08,4612601.687
2019-07-09,4606601.687
2019-07-10,4639001.687
2019-07-11,4672201.687
2019-07-12,4670601.687
2019-07-15,4686201.687
2019-07-16,4697514.663
2019-07-17,4697514.663
2019-07-18,4697514.663
2019-07-19,4727629.319
2019-07-22,4747629.319
2019-07-23,4751229.319
2019-07-24,4751629.319
2019-07-25,4758829.319
2019-07-26,4744829.319
2019-07-29,4742829.319
2019-07-30,4730829.319
2019-07-31,4724829.319
2019-08-01,4687629.319
2019-08-02,4617629.319
2019-08-05,4581629.319
2019-08-06,4562429.319
2019-08-07,4563346.647
2019-08-08,4563346.647
2019-08-12,4563346.647
2019-08-13,4522663.103
2019-08-14,4557463.103
2019-08-15,4506263.103
2019-08-16,4551463.103
2019-08-19,4579463.103
2019-08-20,4594778.919
2019-08-21,4594778.919
2019-08-22,4594778.919
2019-08-23,4602095.079
2019-08-26,4525295.079
2019-08-27,4548095.079
2019-08-28,4547012.183
2019-08-29,4547012.183
2019-08-30,4547012.183
2019-09-02,4547012.183
2019-09-03,4521927.343
2019-09-04,4562327.343
2019-09-05,4598727.343
2019-09-06,4611927.343
2019-09-09,4621527.343
2019-09-10,4601927.343
2019-09-11,4613927.343
2019-09-12,4634327.343
2019-09-16,4657127.343
2019-09-17,4648440.4629999995
2019-09-18,4648440.4629999995
2019-09-19,4648440.4629999995
2019-09-20,4662553.543
2019-09-23,4659753.543
2019-09-24,4665353.543
2019-09-25,4638553.543
2019-09-26,4639353.543
