entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2017-07-27T15:00:00.000000000,10455.0,1,1,5000000.0,1.0,2017-08-11T15:00:00.000000000,10310.0,signal_exit,-7320.765,70.765,100.0,853,fixed_one
2017-09-18T15:00:00.000000000,10638.0,1,1,4992679.235,1.0,2017-09-19T13:35:00.000000000,10577.0,roll_blackout,-3121.215,71.215,100.0,119,fixed_one
2017-10-12T15:00:00.000000000,10693.0,1,1,4989558.0200000005,1.0,2017-10-17T13:35:00.000000000,10721.0,roll_blackout,1328.586,71.414,100.0,369,fixed_one
2017-11-22T15:00:00.000000000,10833.0,1,1,4990886.606000001,1.0,2017-12-01T15:00:00.000000000,10610.0,signal_exit,-11221.443000000001,71.443,100.0,421,fixed_one
2018-01-03T15:00:00.000000000,10793.0,1,1,4979665.163000001,1.0,2018-01-16T13:35:00.000000000,10982.0,roll_blackout,9378.225,71.775,100.0,828,fixed_one
2018-01-18T15:00:00.000000000,11064.0,1,1,4989043.388000001,1.0,2018-02-06T15:00:00.000000000,10417.0,signal_exit,-32421.481,71.481,100.0,438,fixed_one
2018-06-04T15:00:00.000000000,11093.0,1,1,4956621.907000001,1.0,2018-06-19T13:35:00.000000000,10883.0,roll_blackout,-10571.976,71.976,100.0,216,fixed_one
2018-07-20T15:00:00.000000000,10839.0,1,1,4946049.931,1.0,2018-08-14T13:35:00.000000000,10819.0,roll_blackout,-1071.658,71.658,100.0,629,fixed_one
2018-08-29T15:00:00.000000000,11047.0,1,1,4944978.273,1.0,2018-09-11T15:00:00.000000000,10735.0,signal_exit,-15671.782000000001,71.782,100.0,183,fixed_one
2019-04-10T15:00:00.000000000,10862.0,1,1,4929306.490999999,1.0,2019-04-16T13:35:00.000000000,10921.0,roll_blackout,2878.217,71.783,100.0,130,fixed_one
2019-05-03T15:00:00.000000000,11094.0,1,1,4932184.708,1.0,2019-05-09T15:00:00.000000000,10728.0,signal_exit,-18371.822,71.822,100.0,39,fixed_one
2019-07-11T15:00:00.000000000,10816.0,1,1,4913812.886,1.0,2019-07-16T13:35:00.000000000,10880.0,roll_blackout,3128.304,71.696,100.0,101,fixed_one
2019-07-19T15:00:00.000000000,10746.0,1,1,4916941.19,1.0,2019-08-02T15:00:00.000000000,10471.0,signal_exit,-13821.216999999999,71.21700000000001,100.0,259,fixed_one
2019-09-04T15:00:00.000000000,10691.0,1,1,4903119.973,1.0,2019-09-17T13:35:00.000000000,10862.0,roll_blackout,8478.447,71.553,100.0,292,fixed_one
2019-10-01T15:00:00.000000000,10958.0,1,1,4911598.420000001,1.0,2019-10-15T13:35:00.000000000,11105.0,roll_blackout,7277.937000000001,72.063,100.0,153,fixed_one
2019-10-24T15:00:00.000000000,11295.0,1,1,4918876.357000001,1.0,2019-11-19T13:35:00.000000000,11646.0,roll_blackout,17477.059,72.941,100.0,553,fixed_one
2019-12-11T15:00:00.000000000,11710.0,1,1,4936353.416000001,1.0,2019-12-17T13:35:00.000000000,12093.0,roll_blackout,19076.197,73.803,100.0,82,fixed_one
2020-04-30T15:00:00.000000000,10939.0,1,1,4955429.613000001,1.0,2020-05-19T13:35:00.000000000,10873.0,roll_blackout,-3371.812,71.81200000000001,100.0,26,fixed_one
2020-06-02T15:00:00.000000000,11113.0,1,1,4952057.801000001,1.0,2020-06-16T13:35:00.000000000,11512.0,roll_blackout,19877.375,72.625,100.0,25,fixed_one
2020-07-02T15:00:00.000000000,11730.0,1,1,4971935.176000001,1.0,2020-07-14T13:35:00.000000000,12180.0,roll_blackout,22426.09,73.91,100.0,76,fixed_one
2020-07-21T15:00:00.000000000,12299.0,1,1,4994361.266000001,1.0,2020-08-18T13:35:00.000000000,12874.0,roll_blackout,28674.827,75.173,100.0,93,fixed_one
2020-11-09T15:00:00.000000000,13114.0,1,1,5023036.093000001,1.0,2020-11-17T13:35:00.000000000,13604.0,roll_blackout,24423.282,76.718,100.0,13,fixed_one
2020-11-23T15:00:00.000000000,13875.0,1,1,5047459.375000001,1.0,2020-12-15T13:35:00.000000000,14059.0,roll_blackout,9122.066,77.934,100.0,173,fixed_one
2020-12-21T15:00:00.000000000,14319.0,1,1,5056581.441000001,1.0,2021-01-19T13:35:00.000000000,15892.0,roll_blackout,78569.78899999999,80.21100000000001,100.0,449,fixed_one
2021-01-21T15:00:00.000000000,16106.0,1,1,5135151.23,1.0,2021-01-29T15:00:00.000000000,15139.0,signal_exit,-48431.245,81.245,100.0,30,fixed_one
2021-03-29T15:00:00.000000000,16426.0,1,1,5086719.985,1.0,2021-04-20T13:35:00.000000000,17320.0,roll_blackout,44616.254,83.74600000000001,100.0,224,fixed_one
2021-04-26T15:00:00.000000000,17529.0,1,1,5131336.239,1.0,2021-05-05T15:00:00.000000000,16784.0,signal_exit,-37334.313,84.313,100.0,69,fixed_one
2021-06-25T15:00:00.000000000,17420.0,1,1,5094001.926,1.0,2021-07-20T13:35:00.000000000,17540.0,roll_blackout,5915.04,84.96000000000001,100.0,203,fixed_one
2021-11-08T15:00:00.000000000,17422.0,1,1,5099916.966,1.0,2021-11-16T13:35:00.000000000,17685.0,roll_blackout,13064.893,85.107,100.0,86,fixed_one
2021-11-18T15:00:00.000000000,17858.0,1,1,5112981.859,1.0,2021-11-29T15:00:00.000000000,17367.0,signal_exit,-24635.225,85.22500000000001,100.0,104,fixed_one
2021-12-23T15:00:00.000000000,17955.0,1,1,5088346.634000001,1.0,2022-01-18T13:35:00.000000000,18364.0,roll_blackout,20363.680999999997,86.319,100.0,353,fixed_one
2023-03-06T15:00:00.000000000,15773.0,1,1,5108710.315,1.0,2023-03-13T15:00:00.000000000,15537.0,signal_exit,-11881.31,81.31,100.0,21,fixed_one
2023-03-23T15:00:00.000000000,15848.0,1,1,5096829.005000001,1.0,2023-04-18T13:35:00.000000000,15889.0,roll_blackout,1968.2630000000001,81.737,100.0,165,fixed_one
2023-05-18T15:00:00.000000000,16068.0,1,1,5098797.268,1.0,2023-06-20T13:35:00.000000000,17179.0,roll_blackout,55466.753000000004,83.247,100.0,263,fixed_one
2023-07-14T15:00:00.000000000,17275.0,1,1,5154264.021000001,1.0,2023-07-18T13:35:00.000000000,17228.0,roll_blackout,-2434.503,84.50300000000001,100.0,11,fixed_one
2023-09-15T15:00:00.000000000,16905.0,1,1,5151829.518,1.0,2023-09-19T13:35:00.000000000,16627.0,roll_blackout,-13983.532000000001,83.53200000000001,100.0,23,fixed_one
2023-11-13T15:00:00.000000000,16875.0,1,1,5137845.986,1.0,2023-11-14T13:35:00.000000000,16934.0,roll_blackout,2866.191,83.809,100.0,2,fixed_one
2023-11-21T15:00:00.000000000,17405.0,1,1,5140712.176999999,1.0,2023-12-19T13:35:00.000000000,17579.0,roll_blackout,8615.016,84.98400000000001,100.0,129,fixed_one
2023-12-27T15:00:00.000000000,17866.0,1,1,5149327.192999999,1.0,2024-01-04T15:00:00.000000000,17570.0,signal_exit,-14885.436,85.436,100.0,44,fixed_one
2024-01-25T15:00:00.000000000,18010.0,1,1,5134441.756999998,1.0,2024-02-20T13:35:00.000000000,18746.0,roll_blackout,36713.244,86.756,100.0,0,fixed_one
2024-02-22T15:00:00.000000000,18889.0,1,1,5171155.000999998,1.0,2024-03-19T13:35:00.000000000,19864.0,roll_blackout,48661.246999999996,88.75300000000001,100.0,0,fixed_one
2024-03-21T15:00:00.000000000,20276.0,1,1,5219816.247999998,1.0,2024-04-16T13:35:00.000000000,19927.0,roll_blackout,-17540.203,90.203,100.0,0,fixed_one
2024-05-10T15:00:00.000000000,20835.0,1,1,5202276.044999998,1.0,2024-05-14T13:35:00.000000000,20998.0,roll_blackout,8058.167,91.833,100.0,0,fixed_one
2024-05-22T15:00:00.000000000,21577.0,1,1,5210334.211999998,1.0,2024-06-18T13:35:00.000000000,22787.0,roll_blackout,60405.636000000006,94.364,100.0,0,fixed_one
2024-06-20T15:00:00.000000000,23355.0,1,1,5270739.847999999,1.0,2024-07-16T13:35:00.000000000,23968.0,roll_blackout,30552.677,97.32300000000001,100.0,0,fixed_one
2024-09-25T15:00:00.000000000,22767.0,1,1,5301292.5249999985,1.0,2024-10-15T13:35:00.000000000,23248.0,roll_blackout,23953.985,96.01500000000001,100.0,0,fixed_one
2024-10-18T15:00:00.000000000,23687.0,1,1,5325246.509999999,1.0,2024-10-30T15:00:00.000000000,22938.0,signal_exit,-37546.625,96.625,100.0,0,fixed_one
2025-07-17T15:00:00.000000000,23328.0,1,1,5287699.884999999,1.0,2025-08-19T13:35:00.000000000,24355.0,roll_blackout,51252.316999999995,97.683,100.0,0,fixed_one
2025-09-08T15:00:00.000000000,24571.0,1,1,5338952.201999999,1.0,2025-09-16T13:35:00.000000000,25618.0,roll_blackout,52249.810999999994,100.189,100.0,0,fixed_one
2025-09-18T15:00:00.000000000,25708.0,1,1,5391202.012999998,1.0,2025-10-14T13:35:00.000000000,26809.0,roll_blackout,54947.483,102.517,100.0,0,fixed_one
2025-10-16T15:00:00.000000000,27783.0,1,1,5446149.495999998,1.0,2025-11-17T15:00:00.000000000,27453.0,signal_exit,-16605.236,105.236,100.0,0,fixed_one
2025-12-08T15:00:00.000000000,28286.0,1,1,5429544.259999999,1.0,2025-12-16T13:35:00.000000000,27604.0,roll_blackout,-34205.89,105.89,100.0,0,fixed_one
2025-12-31T15:00:00.000000000,29016.0,1,1,5395338.369999998,1.0,2026-01-20T13:35:00.000000000,31709.0,roll_blackout,134539.275,110.72500000000001,100.0,0,fixed_one
2026-01-23T15:00:00.000000000,32185.0,1,1,5529877.644999999,1.0,2026-02-11T13:35:00.000000000,33681.0,roll_blackout,74684.134,115.86600000000001,100.0,0,fixed_one
2026-02-24T15:00:00.000000000,34845.0,1,1,5604561.778999999,1.0,2026-03-10T15:00:00.000000000,32770.0,signal_exit,-103867.615,117.61500000000001,100.0,0,fixed_one
2026-04-08T15:00:00.000000000,35001.0,1,1,5500694.164,1.0,2026-04-14T13:35:00.000000000,36359.0,roll_blackout,67778.64,121.36000000000001,100.0,21,fixed_one
2026-04-16T15:00:00.000000000,37551.0,1,1,5568472.804,1.0,2026-05-19T13:35:00.000000000,40242.0,roll_blackout,134422.207,127.793,100.0,103,fixed_one
2026-05-25T15:00:00.000000000,43871.0,1,1,5702895.011,1.0,2026-06-11T15:00:00.000000000,43374.0,signal_exit,-24987.245,137.245,100.0,64,fixed_one
2026-06-22T15:00:00.000000000,48532.0,1,1,5677907.766,1.0,2026-06-29T15:00:00.000000000,45579.0,signal_exit,-147794.111,144.11100000000002,100.0,10,fixed_one
2026-09-01T15:00:00.000000000,47202.0,1,1,5530113.655,1.0,2026-09-09T13:44:00.000000000,47186.0,period_end,-944.388,144.388,100.0,113,fixed_one
