,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,5000000.0
2017-07-13,5000000.0
2017-07-14,5000000.0
2017-07-17,5000000.0
2017-07-18,5000000.0
2017-07-19,5000000.0
2017-07-20,5000000.0
2017-07-21,5000000.0
2017-07-24,5000000.0
2017-07-25,5000000.0
2017-07-26,5000000.0
2017-07-27,5000000.0
2017-07-28,4994114.543
2017-07-31,4994864.543
2017-08-01,4995464.543
2017-08-02,4999764.543
2017-08-03,4997414.543
2017-08-04,4999064.543
2017-08-07,5003564.543
2017-08-08,5003414.543
2017-08-09,4999764.543
2017-08-10,4993514.543
2017-08-11,4992114.543
2017-08-14,4988664.543
2017-08-15,4992079.243
2017-08-16,4992079.243
2017-08-17,4992079.243
2017-08-18,4992079.243
2017-08-21,4992079.243
2017-08-22,4992079.243
2017-08-23,4992079.243
2017-08-24,4992079.243
2017-08-25,4992079.243
2017-08-28,4992079.243
2017-08-29,4992079.243
2017-08-30,4992079.243
2017-08-31,4992079.243
2017-09-01,4992079.243
2017-09-04,4992079.243
2017-09-05,4992079.243
2017-09-06,4992079.243
2017-09-07,4992079.243
2017-09-08,4992079.243
2017-09-11,4992079.243
2017-09-12,4992079.243
2017-09-13,4992079.243
2017-09-14,4992079.243
2017-09-15,4992079.243
2017-09-18,4992079.243
2017-09-19,4988758.028
2017-09-20,4988758.028
2017-09-21,4988758.028
2017-09-22,4988758.028
2017-09-25,4988758.028
2017-09-26,4988758.028
2017-09-27,4988758.028
2017-09-28,4988758.028
2017-09-29,4988758.028
2017-09-30,4988758.028
2017-10-02,4988758.028
2017-10-03,4988758.028
2017-10-05,4988758.028
2017-10-06,4988758.028
2017-10-11,4988758.028
2017-10-12,4988758.028
2017-10-13,4989522.333
2017-10-16,4991822.333
2017-10-17,4989886.614
2017-10-18,4989886.614
2017-10-19,4989886.614
2017-10-20,4989886.614
2017-10-23,4989886.614
2017-10-24,4989886.614
2017-10-25,4989886.614
2017-10-26,4989886.614
2017-10-27,4989886.614
2017-10-30,4989886.614
2017-10-31,4989886.614
2017-11-01,4989886.614
2017-11-02,4989886.614
2017-11-03,4989886.614
2017-11-06,4989886.614
2017-11-07,4989886.614
2017-11-08,4989886.614
2017-11-09,4989886.614
2017-11-10,4989886.614
2017-11-13,4989886.614
2017-11-14,4989886.614
2017-11-15,4989886.614
2017-11-16,4989886.614
2017-11-17,4989886.614
2017-11-20,4989886.614
2017-11-21,4989886.614
2017-11-22,4989886.614
2017-11-23,4990900.779
2017-11-24,4990900.779
2017-11-27,4985600.779
2017-11-28,4983500.779
2017-11-29,4984550.779
2017-11-30,4976800.779
2017-12-01,4976715.206
2017-12-04,4976715.206
2017-12-05,4976715.206
2017-12-06,4976715.206
2017-12-07,4976715.206
2017-12-08,4976715.206
2017-12-11,4976715.206
2017-12-12,4976715.206
2017-12-13,4976715.206
2017-12-14,4976715.206
2017-12-15,4976715.206
2017-12-18,4976715.206
