entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2017-07-27T15:00:00.000000000,10457.0,1,1,5000000.0,1.0,2017-08-15T13:35:00.000000000,10300.0,roll_blackout,-7920.7570000000005,70.757,300.0,950,fixed_one
2017-09-18T15:00:00.000000000,10640.0,1,1,4992079.243,1.0,2017-09-19T13:35:00.000000000,10575.0,roll_blackout,-3321.2149999999997,71.215,300.0,119,fixed_one
2017-10-12T15:00:00.000000000,10695.0,1,1,4988758.028,1.0,2017-10-17T13:35:00.000000000,10719.0,roll_blackout,1128.586,71.414,300.0,369,fixed_one
2017-11-22T15:00:00.000000000,10835.0,1,1,4989886.614,1.0,2017-11-30T15:00:00.000000000,10573.0,signal_exit,-13171.408,71.408,300.0,400,fixed_one
2018-01-03T15:00:00.000000000,10795.0,1,1,4976715.206,1.0,2018-01-16T13:35:00.000000000,10980.0,roll_blackout,9178.225,71.775,300.0,828,fixed_one
2018-01-18T15:00:00.000000000,11066.0,1,1,4985893.431,1.0,2018-02-06T15:00:00.000000000,10415.0,signal_exit,-32621.481,71.481,300.0,438,fixed_one
2018-06-04T15:00:00.000000000,11095.0,1,1,4953271.95,1.0,2018-06-19T13:35:00.000000000,10881.0,roll_blackout,-10771.975999999999,71.976,300.0,216,fixed_one
2018-07-20T15:00:00.000000000,10841.0,1,1,4942499.974,1.0,2018-08-14T13:35:00.000000000,10817.0,roll_blackout,-1271.658,71.658,300.0,629,fixed_one
2018-08-29T15:00:00.000000000,11049.0,1,1,4941228.316000001,1.0,2018-09-12T15:00:00.000000000,10711.0,signal_exit,-16971.76,71.75999999999999,300.0,195,fixed_one
2019-04-10T15:00:00.000000000,10864.0,1,1,4924256.556000001,1.0,2019-04-16T13:35:00.000000000,10919.0,roll_blackout,2678.217,71.783,300.0,130,fixed_one
2019-05-03T15:00:00.000000000,11096.0,1,1,4926934.773000001,1.0,2019-05-14T13:35:00.000000000,10539.0,roll_blackout,-27921.635000000002,71.635,300.0,39,fixed_one
2019-07-11T15:00:00.000000000,10818.0,1,1,4899013.138000001,1.0,2019-07-16T13:35:00.000000000,10878.0,roll_blackout,2928.3039999999996,71.696,300.0,101,fixed_one
2019-07-19T15:00:00.000000000,10748.0,1,1,4901941.442000002,1.0,2019-08-05T15:00:00.000000000,10377.0,signal_exit,-18621.125,71.125,300.0,262,fixed_one
2019-09-04T15:00:00.000000000,10693.0,1,1,4883320.317000002,1.0,2019-09-17T13:35:00.000000000,10860.0,roll_blackout,8278.447,71.553,300.0,292,fixed_one
2019-10-01T15:00:00.000000000,10960.0,1,1,4891598.764000001,1.0,2019-10-15T13:35:00.000000000,11103.0,roll_blackout,7077.937,72.063,300.0,153,fixed_one
2019-10-24T15:00:00.000000000,11297.0,1,1,4898676.701000001,1.0,2019-11-19T13:35:00.000000000,11644.0,roll_blackout,17277.059,72.941,300.0,553,fixed_one
2019-12-11T15:00:00.000000000,11712.0,1,1,4915953.760000001,1.0,2019-12-17T13:35:00.000000000,12091.0,roll_blackout,18876.197,73.803,300.0,82,fixed_one
2020-04-30T15:00:00.000000000,10941.0,1,1,4934829.957,1.0,2020-05-19T13:35:00.000000000,10871.0,roll_blackout,-3571.812,71.81200000000001,300.0,26,fixed_one
2020-06-02T15:00:00.000000000,11115.0,1,1,4931258.1450000005,1.0,2020-06-16T13:35:00.000000000,11510.0,roll_blackout,19677.375,72.625,300.0,25,fixed_one
2020-07-02T15:00:00.000000000,11732.0,1,1,4950935.5200000005,1.0,2020-07-14T13:35:00.000000000,12178.0,roll_blackout,22226.09,73.91,300.0,76,fixed_one
2020-07-21T15:00:00.000000000,12301.0,1,1,4973161.61,1.0,2020-08-18T13:35:00.000000000,12872.0,roll_blackout,28474.827,75.173,300.0,93,fixed_one
2020-11-09T15:00:00.000000000,13116.0,1,1,5001636.437,1.0,2020-11-17T13:35:00.000000000,13602.0,roll_blackout,24223.282,76.718,300.0,13,fixed_one
2020-11-23T15:00:00.000000000,13877.0,1,1,5025859.719,1.0,2020-12-15T13:35:00.000000000,14057.0,roll_blackout,8922.065999999999,77.934,300.0,173,fixed_one
2020-12-21T15:00:00.000000000,14321.0,1,1,5034781.784999999,1.0,2020-12-31T13:44:00.000000000,14675.0,period_end,17621.004,78.996,300.0,309,fixed_one
