entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2024-01-25T15:00:00.000000000,18012.0,1,5,5000000.0,1.0,2024-02-20T13:35:00.000000000,18744.0,roll_blackout,182566.22,433.78,1500.0,0
2024-02-22T15:00:00.000000000,18891.0,1,5,5182566.220000001,1.0,2024-03-19T13:35:00.000000000,19862.0,roll_blackout,242306.23500000002,443.76500000000004,1500.0,0
2024-03-21T15:00:00.000000000,20278.0,1,5,5424872.455000001,1.0,2024-04-16T13:35:00.000000000,19925.0,roll_blackout,-88701.015,451.01500000000004,1500.0,0
2024-05-10T15:00:00.000000000,20837.0,1,5,5336171.440000001,1.0,2024-05-14T13:35:00.000000000,20996.0,roll_blackout,39290.835,459.165,1500.0,0
2024-05-22T15:00:00.000000000,21579.0,1,4,5375462.275000001,1.0,2024-06-18T13:35:00.000000000,22785.0,roll_blackout,240822.544,377.456,1200.0,0
2024-06-20T15:00:00.000000000,23357.0,1,4,5616284.819000002,1.0,2024-07-16T13:35:00.000000000,23966.0,roll_blackout,121410.708,389.29200000000003,1200.0,0
2024-09-25T15:00:00.000000000,22769.0,1,5,5737695.527000002,1.0,2024-10-15T13:35:00.000000000,23246.0,roll_blackout,118769.925,480.07500000000005,1500.0,0
2024-10-18T15:00:00.000000000,23689.0,1,4,5856465.452000001,1.0,2024-10-30T15:00:00.000000000,22936.0,signal_exit,-150986.5,386.50000000000006,1200.0,0
2025-03-28T15:00:00.000000000,21573.0,-1,5,5705478.952000001,1.0,2025-04-15T13:35:00.000000000,19791.0,roll_blackout,445043.18,456.82,1500.0,0
2025-07-17T15:00:00.000000000,23330.0,1,5,6150522.132000001,1.0,2025-08-19T13:35:00.000000000,24353.0,roll_blackout,255261.585,488.41499999999996,1500.0,0
2025-09-08T15:00:00.000000000,24573.0,1,5,6405783.717000001,1.0,2025-09-16T13:35:00.000000000,25616.0,roll_blackout,260249.05500000002,500.945,1500.0,0
2025-09-18T15:00:00.000000000,25710.0,1,5,6666032.772000001,1.0,2025-10-14T13:35:00.000000000,26807.0,roll_blackout,273737.41500000004,512.585,1500.0,0
2025-10-16T15:00:00.000000000,27785.0,1,4,6939770.187000001,1.0,2025-11-17T15:00:00.000000000,27451.0,signal_exit,-67220.944,420.944,1200.0,0
2025-12-08T15:00:00.000000000,28288.0,1,4,6872549.243000001,1.0,2025-12-16T13:35:00.000000000,27602.0,roll_blackout,-137623.56,423.56000000000006,1200.0,0
2025-12-31T15:00:00.000000000,29018.0,1,4,6734925.683000001,1.0,2026-01-20T13:35:00.000000000,31707.0,roll_blackout,537357.1,442.90000000000003,1200.0,0
2026-01-23T15:00:00.000000000,32187.0,1,4,7272282.783000002,1.0,2026-02-11T13:35:00.000000000,33679.0,roll_blackout,297936.53599999996,463.46400000000006,1200.0,0
2026-02-24T15:00:00.000000000,34847.0,1,4,7570219.319000002,1.0,2026-03-10T15:00:00.000000000,32768.0,signal_exit,-416270.45999999996,470.46000000000004,1200.0,0
2026-04-08T15:00:00.000000000,35003.0,1,4,7153948.859000002,1.0,2026-04-14T13:35:00.000000000,36357.0,roll_blackout,270314.56,485.44000000000005,1200.0,21
2026-04-16T15:00:00.000000000,37553.0,1,3,7424263.419000002,1.0,2026-05-19T13:35:00.000000000,40240.0,roll_blackout,402666.62100000004,383.379,900.0,103
2026-05-25T15:00:00.000000000,43873.0,1,3,7826930.040000002,1.0,2026-06-11T15:00:00.000000000,43372.0,signal_exit,-75561.735,411.73500000000007,900.0,64
2026-06-22T15:00:00.000000000,48534.0,1,3,7751368.305000002,1.0,2026-06-29T15:00:00.000000000,45577.0,signal_exit,-443982.33300000004,432.333,900.0,10
2026-09-01T15:00:00.000000000,47204.0,1,3,7307385.972000002,1.0,2026-09-09T13:44:00.000000000,47184.0,period_end,-3433.164,433.164,900.0,113
