,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,5000000.0
2017-07-13,5000000.0
2017-07-14,5000000.0
2017-07-17,5000000.0
2017-07-18,5000000.0
2017-07-19,5000000.0
2017-07-20,5000000.0
2017-07-21,5000000.0
2017-07-24,5000000.0
2017-07-25,5000000.0
2017-07-26,5000000.0
2017-07-27,5000000.0
2017-07-28,4947030.887
2017-07-31,4953780.887
2017-08-01,4959180.887
2017-08-02,4997880.887
2017-08-03,4976730.887
2017-08-04,4991580.887
2017-08-07,5032080.887
2017-08-08,5030730.887
2017-08-09,4997880.887
2017-08-10,4941630.887
2017-08-11,4929030.887
2017-08-14,4932313.115
2017-08-15,4932313.115
2017-08-16,4932313.115
2017-08-17,4932313.115
2017-08-18,4932313.115
2017-08-21,4932313.115
2017-08-22,4932313.115
2017-08-23,4932313.115
2017-08-24,4932313.115
2017-08-25,4932313.115
2017-08-28,4932313.115
2017-08-29,4932313.115
2017-08-30,4932313.115
2017-08-31,4932313.115
2017-09-01,4932313.115
2017-09-04,4932313.115
2017-09-05,4932313.115
2017-09-06,4932313.115
2017-09-07,4932313.115
2017-09-08,4932313.115
2017-09-11,4932313.115
2017-09-12,4932313.115
2017-09-13,4932313.115
2017-09-14,4932313.115
2017-09-15,4932313.115
2017-09-18,4932313.115
2017-09-19,4902422.18
2017-09-20,4902422.18
2017-09-21,4902422.18
2017-09-22,4902422.18
2017-09-25,4902422.18
2017-09-26,4902422.18
2017-09-27,4902422.18
2017-09-28,4902422.18
2017-09-29,4902422.18
2017-09-30,4902422.18
2017-10-02,4902422.18
2017-10-03,4902422.18
2017-10-05,4902422.18
2017-10-06,4902422.18
2017-10-11,4902422.18
2017-10-12,4902422.18
2017-10-13,4909300.925
2017-10-16,4930000.925
2017-10-17,4912579.454
2017-10-18,4912579.454
2017-10-19,4912579.454
2017-10-20,4912579.454
2017-10-23,4912579.454
2017-10-24,4912579.454
2017-10-25,4912579.454
2017-10-26,4912579.454
2017-10-27,4912579.454
2017-10-30,4912579.454
2017-10-31,4912579.454
2017-11-01,4912579.454
2017-11-02,4912579.454
2017-11-03,4912579.454
2017-11-06,4912579.454
2017-11-07,4912579.454
2017-11-08,4912579.454
2017-11-09,4912579.454
2017-11-10,4912579.454
2017-11-13,4912579.454
2017-11-14,4912579.454
2017-11-15,4912579.454
2017-11-16,4912579.454
2017-11-17,4912579.454
2017-11-20,4912579.454
2017-11-21,4912579.454
2017-11-22,4912579.454
2017-11-23,4921706.939
2017-11-24,4921706.939
2017-11-27,4874006.939
2017-11-28,4855106.939
2017-11-29,4864556.939
2017-11-30,4794806.939
2017-12-01,4808306.939
2017-12-04,4809786.467
2017-12-05,4809786.467
2017-12-06,4809786.467
2017-12-07,4809786.467
2017-12-08,4809786.467
2017-12-11,4809786.467
2017-12-12,4809786.467
2017-12-13,4809786.467
2017-12-14,4809786.467
2017-12-15,4809786.467
2017-12-18,4809786.467
