,equity
2021-01-04,5000000.0
2021-01-05,5004260.109
2021-01-06,5000960.109
2021-01-07,5016910.109
2021-01-08,5028110.109
2021-01-11,5032110.109
2021-01-12,5030060.109
2021-01-13,5043610.109
2021-01-14,5041860.109
2021-01-15,5037110.109
2021-01-18,5035710.109
2021-01-19,5049869.219
2021-01-20,5049869.219
2021-01-21,5049869.219
2021-01-22,5043628.111
2021-01-25,5040028.111
2021-01-26,5025728.111
2021-01-27,5027428.111
2021-01-28,5013578.111
2021-01-29,4998178.111
2021-02-01,5012428.111
2021-02-02,5032178.111
2021-02-03,5033028.111
2021-02-04,5029478.111
2021-02-05,5034637.306
2021-02-17,5034637.306
2021-02-18,5034637.306
2021-02-19,5034637.306
2021-02-22,5034637.306
2021-02-23,5034637.306
2021-02-24,5034637.306
2021-02-25,5034637.306
2021-02-26,5034637.306
2021-03-02,5034637.306
2021-03-03,5034637.306
2021-03-04,5034637.306
2021-03-05,5034637.306
2021-03-08,5034637.306
2021-03-09,5034637.306
2021-03-10,5034637.306
2021-03-11,5034637.306
2021-03-12,5034637.306
2021-03-15,5034637.306
2021-03-16,5034637.306
2021-03-17,5034637.306
2021-03-18,5034637.306
2021-03-19,5034637.306
2021-03-22,5034637.306
2021-03-23,5034637.306
2021-03-24,5034637.306
2021-03-25,5034637.306
2021-03-26,5034637.306
2021-03-29,5034637.306
2021-03-30,5034637.306
2021-03-31,5034637.306
2021-04-01,5034637.306
2021-04-06,5034637.306
2021-04-07,5035745.561
2021-04-08,5043845.561
2021-04-09,5039395.561
2021-04-12,5039045.561
2021-04-13,5037095.561
2021-04-14,5040145.561
2021-04-15,5050895.561
2021-04-16,5055245.561
2021-04-19,5060895.561
2021-04-20,5063203.243
2021-04-21,5063203.243
2021-04-22,5063203.243
2021-04-23,5063203.243
2021-04-26,5063203.243
2021-04-27,5065160.712
2021-04-28,5063260.712
2021-04-29,5065160.712
2021-05-03,5049260.712
2021-05-04,5033260.712
2021-05-05,5025060.712
2021-05-06,5033810.712
2021-05-07,5050960.712
2021-05-10,5048010.712
2021-05-11,5014410.712
2021-05-12,4971210.712
2021-05-13,4964910.712
2021-05-14,4965820.127
2021-05-17,4965820.127
2021-05-18,4965820.127
2021-05-19,4965820.127
2021-05-20,4965820.127
2021-05-21,4965820.127
2021-05-24,4965820.127
2021-05-25,4965820.127
2021-05-26,4965820.127
2021-05-27,4965820.127
2021-05-28,4965820.127
