,equity
2021-01-04,5057961.92
2021-01-05,5088861.92
2021-01-06,5069061.92
2021-01-07,5164761.92
2021-01-08,5231961.92
2021-01-11,5255961.92
2021-01-12,5243661.92
2021-01-13,5324961.92
2021-01-14,5314461.92
2021-01-15,5285961.92
2021-01-18,5277561.92
2021-01-19,5362516.58
2021-01-20,5362516.58
2021-01-21,5362516.58
2021-01-22,5325069.932
2021-01-25,5303469.932
2021-01-26,5217669.932
2021-01-27,5227869.932
2021-01-28,5144769.932
2021-01-29,5052369.932
2021-02-01,5137869.932
2021-02-02,5256369.932
2021-02-03,5261469.932
2021-02-04,5240169.932
2021-02-05,5271125.102
2021-02-17,5271125.102
2021-02-18,5271125.102
2021-02-19,5271125.102
2021-02-22,5271125.102
2021-02-23,5271125.102
2021-02-24,5271125.102
2021-02-25,5271125.102
2021-02-26,5271125.102
2021-03-02,5271125.102
2021-03-03,5271125.102
2021-03-04,5271125.102
2021-03-05,5271125.102
2021-03-08,5271125.102
2021-03-09,5271125.102
2021-03-10,5271125.102
2021-03-11,5271125.102
2021-03-12,5271125.102
2021-03-15,5271125.102
2021-03-16,5271125.102
2021-03-17,5271125.102
2021-03-18,5271125.102
2021-03-19,5271125.102
2021-03-22,5271125.102
2021-03-23,5271125.102
2021-03-24,5271125.102
2021-03-25,5271125.102
2021-03-26,5271125.102
2021-03-29,5271125.102
2021-03-30,5298176.534
2021-03-31,5269076.534
2021-04-01,5307776.534
2021-04-06,5361776.534
2021-04-07,5372876.534
2021-04-08,5421476.534
2021-04-09,5394776.534
2021-04-12,5392676.534
2021-04-13,5380976.534
2021-04-14,5399276.534
2021-04-15,5463776.534
2021-04-16,5489876.534
2021-04-19,5523776.534
2021-04-20,5537622.626
2021-04-21,5537622.626
2021-04-22,5537622.626
2021-04-23,5537622.626
2021-04-26,5537622.626
2021-04-27,5549367.4399999995
2021-04-28,5537967.4399999995
2021-04-29,5549367.4399999995
2021-05-03,5453967.4399999995
2021-05-04,5357967.4399999995
2021-05-05,5308767.4399999995
2021-05-06,5361267.4399999995
2021-05-07,5464167.4399999995
2021-05-10,5446467.4399999995
2021-05-11,5244867.4399999995
2021-05-12,4985667.4399999995
2021-05-13,4947867.4399999995
2021-05-14,4953323.93
2021-05-17,4953323.93
2021-05-18,4953323.93
2021-05-19,4953323.93
2021-05-20,4953323.93
2021-05-21,4953323.93
2021-05-24,4953323.93
2021-05-25,4953323.93
2021-05-26,4953323.93
2021-05-27,4953323.93
2021-05-28,4953323.93
2021-05-31,4953323.93
2021-06-01,4953323.93
2021-06-02,4953323.93
2021-06-03,4953323.93
2021-06-04,4953323.93
2021-06-07,4953323.93
2021-06-08,4953323.93
2021-06-09,4953323.93
2021-06-10,4953323.93
2021-06-11,4953323.93
2021-06-15,4953323.93
2021-06-16,4953323.93
2021-06-17,4953323.93
2021-06-18,4953323.93
2021-06-21,4953323.93
2021-06-22,4953323.93
2021-06-23,4953323.93
2021-06-24,4953323.93
2021-06-25,4953323.93
2021-06-28,4981361.82
2021-06-29,4979861.82
2021-06-30,5026361.82
2021-07-01,5009111.82
2021-07-02,5010861.82
2021-07-05,5072111.82
2021-07-06,5067111.82
2021-07-07,5055111.82
2021-07-08,5053861.82
2021-07-09,5012111.82
2021-07-12,5053611.82
2021-07-13,5064861.82
2021-07-14,5066111.82
2021-07-15,5103111.82
2021-07-16,5078861.82
2021-07-19,5046111.82
2021-07-20,4981899.13
2021-07-21,4981899.13
2021-07-22,4981899.13
2021-07-23,4981899.13
2021-07-26,4981899.13
2021-07-27,4981899.13
2021-07-28,4981899.13
2021-07-29,4981899.13
2021-07-30,4981899.13
2021-08-02,4981899.13
2021-08-03,4981899.13
2021-08-04,4981899.13
2021-08-05,4981899.13
2021-08-06,4981899.13
2021-08-09,4981899.13
2021-08-10,4981899.13
2021-08-11,4981899.13
2021-08-12,4981899.13
2021-08-13,4981899.13
2021-08-16,4981899.13
2021-08-17,4981899.13
2021-08-18,4981899.13
2021-08-19,4981899.13
2021-08-20,4981899.13
2021-08-23,4981899.13
2021-08-24,4981899.13
2021-08-25,4981899.13
2021-08-26,4981899.13
2021-08-27,4981899.13
2021-08-30,4981899.13
2021-08-31,4981899.13
2021-09-01,4981899.13
2021-09-02,4981899.13
2021-09-03,4981899.13
