entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,sizing_mode
2023-12-29T15:00:00.000000000,17872.0,1,1,5000000.0,1.0,2024-01-16T13:35:00.000000000,17346.0,roll_blackout,-26385.218,85.218,100.0,13,fixed_one
2024-01-22T15:00:00.000000000,17803.0,1,1,4973614.782,1.0,2024-02-20T13:35:00.000000000,18746.0,roll_blackout,47063.451,86.549,100.0,0,fixed_one
2024-02-22T15:00:00.000000000,18889.0,1,1,5020678.232999999,1.0,2024-03-19T13:35:00.000000000,19864.0,roll_blackout,48661.246999999996,88.75300000000001,100.0,0,fixed_one
2024-03-21T15:00:00.000000000,20276.0,1,1,5069339.479999999,1.0,2024-04-16T13:35:00.000000000,19927.0,roll_blackout,-17540.203,90.203,100.0,0,fixed_one
2024-04-18T15:00:00.000000000,20381.0,1,1,5051799.276999999,1.0,2024-05-14T13:35:00.000000000,20998.0,roll_blackout,30758.621,91.379,100.0,0,fixed_one
2024-05-16T15:00:00.000000000,21352.0,1,1,5082557.897999999,1.0,2024-06-18T13:35:00.000000000,22787.0,roll_blackout,71655.861,94.13900000000001,100.0,0,fixed_one
2024-06-20T15:00:00.000000000,23355.0,1,1,5154213.759,1.0,2024-07-16T13:35:00.000000000,23968.0,roll_blackout,30552.677,97.32300000000001,100.0,0,fixed_one
2024-07-18T15:00:00.000000000,23520.0,1,1,5184766.435999999,1.0,2024-07-31T15:00:00.000000000,22351.0,signal_exit,-58545.871,95.87100000000001,100.0,0,fixed_one
2024-09-25T15:00:00.000000000,22767.0,1,1,5126220.5649999995,1.0,2024-10-15T13:35:00.000000000,23248.0,roll_blackout,23953.985,96.01500000000001,100.0,0,fixed_one
2024-10-17T15:00:00.000000000,23498.0,1,1,5150174.55,1.0,2024-11-19T13:35:00.000000000,22853.0,roll_blackout,-32346.351,96.351,100.0,0,fixed_one
2024-11-25T15:00:00.000000000,23022.0,1,1,5117828.199,1.0,2024-11-27T15:00:00.000000000,22394.0,signal_exit,-31495.416,95.41600000000001,100.0,0,fixed_one
2024-12-03T15:00:00.000000000,23087.0,1,1,5086332.783,1.0,2024-12-16T15:00:00.000000000,22986.0,signal_exit,-5146.073,96.07300000000001,100.0,0,fixed_one
2025-01-21T15:00:00.000000000,23355.0,1,1,5081186.71,1.0,2025-02-04T15:00:00.000000000,22838.0,signal_exit,-25946.193,96.19300000000001,100.0,0,fixed_one
2025-02-06T15:00:00.000000000,23291.0,1,1,5055240.516999999,1.0,2025-02-18T13:35:00.000000000,23653.0,roll_blackout,18003.056,96.944,100.0,0,fixed_one
2025-02-20T15:00:00.000000000,23546.0,1,1,5073243.572999999,1.0,2025-03-04T15:00:00.000000000,22596.0,signal_exit,-47596.142,96.14200000000001,100.0,0,fixed_one
2025-03-27T15:00:00.000000000,21954.0,-1,1,5025647.430999999,1.0,2025-04-15T13:35:00.000000000,19789.0,roll_blackout,108158.257,91.743,100.0,0,fixed_one
2025-04-17T15:00:00.000000000,19522.0,-1,1,5133805.687999999,1.0,2025-05-14T15:00:00.000000000,21803.0,signal_exit,-114141.325,91.325,100.0,0,fixed_one
2025-07-04T15:00:00.000000000,22431.0,1,1,5019664.362999999,1.0,2025-07-15T13:35:00.000000000,22831.0,roll_blackout,19904.738,95.262,100.0,0,fixed_one
2025-07-17T15:00:00.000000000,23328.0,1,1,5039569.100999999,1.0,2025-08-19T13:35:00.000000000,24355.0,roll_blackout,51252.316999999995,97.683,100.0,0,fixed_one
2025-08-21T15:00:00.000000000,23871.0,1,1,5090821.417999999,1.0,2025-09-16T13:35:00.000000000,25618.0,roll_blackout,87250.511,99.489,100.0,0,fixed_one
2025-09-18T15:00:00.000000000,25708.0,1,1,5178071.928999999,1.0,2025-10-14T13:35:00.000000000,26809.0,roll_blackout,54947.483,102.517,100.0,0,fixed_one
2025-10-16T15:00:00.000000000,27783.0,1,1,5233019.411999999,1.0,2025-11-18T13:35:00.000000000,26808.0,roll_blackout,-48854.591,104.59100000000001,100.0,0,fixed_one
2025-11-20T15:00:00.000000000,27509.0,1,1,5184164.820999999,1.0,2025-11-24T15:00:00.000000000,26614.0,signal_exit,-44854.123,104.123,100.0,0,fixed_one
2025-11-26T15:00:00.000000000,27351.0,1,1,5139310.697999999,1.0,2025-12-16T13:35:00.000000000,27604.0,roll_blackout,12545.045,104.955,100.0,0,fixed_one
2025-12-22T15:00:00.000000000,28347.0,1,1,5151855.742999999,1.0,2026-01-20T13:35:00.000000000,31709.0,roll_blackout,167989.944,110.05600000000001,100.0,0,fixed_one
2026-01-22T15:00:00.000000000,31846.0,1,1,5319845.686999999,1.0,2026-02-11T13:35:00.000000000,33681.0,roll_blackout,91634.473,115.52700000000002,100.0,0,fixed_one
2026-02-24T15:00:00.000000000,34845.0,1,1,5411480.159999999,1.0,2026-03-17T13:35:00.000000000,33838.0,roll_blackout,-50468.683000000005,118.683,100.0,0,fixed_one
2026-03-19T15:00:00.000000000,33551.0,1,1,5361011.476999999,1.0,2026-03-31T15:00:00.000000000,31942.0,signal_exit,-80565.493,115.49300000000001,100.0,0,fixed_one
2026-04-08T15:00:00.000000000,35001.0,1,1,5280445.983999999,1.0,2026-04-14T13:35:00.000000000,36359.0,roll_blackout,67778.64,121.36000000000001,100.0,21,fixed_one
2026-04-16T15:00:00.000000000,37551.0,1,1,5348224.623999999,1.0,2026-05-19T13:35:00.000000000,40242.0,roll_blackout,134422.207,127.793,100.0,103,fixed_one
2026-05-21T15:00:00.000000000,41314.0,1,1,5482646.830999999,1.0,2026-06-16T13:35:00.000000000,45762.0,roll_blackout,222262.924,137.076,100.0,86,fixed_one
2026-06-18T15:00:00.000000000,46752.0,1,1,5704909.754999999,1.0,2026-07-14T13:35:00.000000000,44826.0,roll_blackout,-96441.578,141.578,100.0,60,fixed_one
2026-07-16T15:00:00.000000000,45451.0,1,1,5608468.176999998,1.0,2026-07-20T15:00:00.000000000,42640.0,signal_exit,-140688.09100000001,138.091,100.0,6,fixed_one
2026-07-22T15:00:00.000000000,44454.0,1,1,5467780.085999998,1.0,2026-07-27T15:00:00.000000000,43955.0,signal_exit,-25088.409000000003,138.40900000000002,100.0,8,fixed_one
2026-08-11T15:00:00.000000000,44938.0,1,1,5442691.676999998,1.0,2026-08-18T13:35:00.000000000,45120.0,roll_blackout,8959.942,140.058,100.0,62,fixed_one
2026-08-27T15:00:00.000000000,46133.0,1,1,5451651.618999998,1.0,2026-09-09T13:44:00.000000000,47186.0,period_end,52506.681,143.31900000000002,100.0,152,fixed_one
