,equity
2024-01-02,4981285.64
2024-01-03,4918285.64
2024-01-04,4918285.64
2024-01-05,4911535.64
2024-01-08,4930535.64
2024-01-09,4918035.64
2024-01-10,4896285.64
2024-01-11,4925535.64
2024-01-12,4904035.64
2024-01-15,4921535.64
2024-01-16,4868073.91
2024-01-17,4868073.91
2024-01-18,4868073.91
2024-01-19,4868073.91
2024-01-22,4868073.91
2024-01-23,4884609.895
2024-01-24,4892859.895
2024-01-25,4915859.895
2024-01-26,4916859.895
2024-01-29,4948359.895
2024-01-30,4937359.895
2024-01-31,4897109.895
2024-02-01,4913609.895
2024-02-02,4938109.895
2024-02-05,4938609.895
2024-02-15,5083859.895
2024-02-16,5075609.895
2024-02-19,5084859.895
2024-02-20,5103391.165
2024-02-21,5103391.165
2024-02-22,5103391.165
2024-02-23,5109171.72
2024-02-26,5121671.72
2024-02-27,5097671.72
2024-02-29,5122421.72
2024-03-01,5121171.72
2024-03-04,5209421.72
2024-03-05,5228171.72
2024-03-06,5258171.72
2024-03-07,5308171.72
2024-03-08,5328671.72
2024-03-11,5309671.72
2024-03-12,5369671.72
2024-03-13,5362671.72
2024-03-14,5365671.72
2024-03-15,5313421.72
2024-03-18,5360671.72
2024-03-19,5346697.4
2024-03-20,5346697.4
2024-03-21,5346697.4
2024-03-22,5337971.02
2024-03-25,5335221.02
2024-03-26,5324221.02
2024-03-27,5342721.02
2024-03-28,5328221.02
2024-03-29,5347471.02
2024-04-01,5349471.02
2024-04-02,5408221.02
2024-04-03,5364721.02
2024-04-08,5389971.02
2024-04-09,5495971.02
2024-04-10,5490221.02
2024-04-11,5465721.02
2024-04-12,5466221.02
2024-04-15,5404471.02
2024-04-16,5258996.385
2024-04-17,5258996.385
2024-04-18,5258996.385
2024-04-19,5050019.4799999995
2024-04-22,5044519.4799999995
2024-04-23,5082769.4799999995
2024-04-24,5206019.4799999995
2024-04-25,5134769.4799999995
2024-04-26,5208019.4799999995
2024-04-29,5301519.4799999995
2024-04-30,5266769.4799999995
2024-05-02,5236269.4799999995
2024-05-03,5259019.4799999995
2024-05-06,5314019.4799999995
2024-05-07,5326019.4799999995
2024-05-08,5344769.4799999995
2024-05-09,5316519.4799999995
2024-05-10,5365769.4799999995
2024-05-13,5384269.4799999995
2024-05-14,5412789.49
2024-05-15,5412789.49
2024-05-16,5412789.49
2024-05-17,5408557.73
2024-05-20,5400057.73
2024-05-21,5393807.73
2024-05-22,5470307.73
2024-05-23,5475557.73
2024-05-24,5465807.73
2024-05-27,5543307.73
2024-05-28,5563057.73
2024-05-29,5505057.73
2024-05-30,5422307.73
2024-05-31,5395807.73
2024-06-03,5488057.73
2024-06-04,5404557.73
